goods_id(商品ID),cat_id(商品类型ID),goods_sn(商品编号),goods_name(商品名称),click_count(商品浏览人次),goods_high(商品亮点),,market_price(市场价格),shop_price(售价),promote_price(促销价)
1,37,Pechoin000000,百雀羚气韵本草肌源赋活焕颜新肌礼盒5件套装  紧致抗皱淡细纹滋润,89256,长辈首选,776,825.6,688,688
527,29,Pechoin000527,百雀羚恒采新颜紧致精华露30ml 送：育肤乳20ml+精华水20ml+面霜8g+紧致面膜2片 精华液淡化干纹细纹 淡化皱纹 细腻亮泽,13335,抗皱精品,866,268,185,0
214,36,Pechoin000214,百雀羚美白补水5件套装 至尚套装+精华乳液+活力眼啫喱 送：甘油一个+随机面膜2片+随机小样2个+化妆棉一盒 水嫩特惠套装,43406,推荐,485,378,315,315
225,49,Pechoin000225,百雀羚 水嫩精纯莹采修饰乳40g 送:百雀羚随机面膜2片 亮肤型 cc霜 遮瑕 有防伪码,9532,,843,148,119,0
447,37,Pechoin000447,百雀羚气韵肌源奢白5件组合 洁颜膏+水+乳+菁华露+霜 送:面膜5片+随机小样2个+甘油+化妆棉　美白夏季补水 提亮肤色 美白保湿 润养紧致,26743,淡斑清爽 ,824,669.6,558,558
222,49,Pechoin000222,百雀羚cc霜 水嫩精纯明星修饰乳40g 送:百雀羚随机面膜2片 修颜型CC霜  裸妆补水 遮瑕控油保湿隔离 有防伪码,11653,,704,154.8,129,119
215,36,Pechoin000215,百雀羚水嫩精纯明星5件套装（水嫩净透洁面+明星美肌水+眼部精华液+肌底精华液+明星精华露）送:8杯水面膜1盒+奔腾吹风机+护肤脂+凡士林润肤露60g 补水保湿提亮 紧致抗皱 抗氧化  ,12278,,874,530.4,442,0
2,37,Pechoin000002,百雀羚气韵焕亮菁采晶透礼盒三件套新款   送：洗护一套（洗发露75ml+沐浴露75ml）+百雀羚因雀思听面膜3片 补水润白祛黄清爽,20585,买一送五,784,210,168,168
3,36,Pechoin000003,百雀羚水嫩精纯明星四件套装 美肌水 +眼部精华液 +肌底精华液 +能量元面霜  淡化黑眼圈眼袋 淡化细纹 平衡保水 修护新生 收缩毛孔,11839,,854,466.8,389,366
4,37,Pechoin000004,百雀羚气韵草本水嫩倍现礼盒套 送：补水面膜2片+玫瑰花酿小套装（水15ml+乳10ml+霜8g） 补水滋养美白保湿锁水清爽护肤品,22365,,467,298,249,249
5,1,Pechoin000005,百雀羚气韵本草水凝恒润深层滋养礼盒4件套补水保湿滋润锁水专柜,11605,,815,339,289,289
522,62,Pechoin000522,海之秘活源净白亮肤调理水100ml美白保湿改善皮肤专柜正品,8178,,881,138,118,0
523,63,Pechoin000523,海之秘赋活焕白日间防护乳SPF15 90ml防护隔离美白保湿专柜正品,12456,,880,258,188,0
524,74,Pechoin000524,百雀羚 水嫩精纯滋养身体乳250ml 送：面膜2片+洗发露7ml*3袋 身体乳水嫩精纯全身补水保湿滋润止痒香体润体浴后乳润肤露,12426,,869,159,118,118
6,43,Pechoin000006,百雀羚小雀幸密集凝润保湿面膜20片 淡化细纹补水滋润改善干燥正品国货,8132,,714,240,128,128
535,27,Pechoin000535,百雀羚水活能量修护精华液30ml  清润质地 温和润养 密集补水 滋润修护 正品带防伪,15042,,876,238,169,0
598,74,Pechoin000598, 百雀羚三生花红玫瑰&白玫瑰礼盒 滋润护手霜洁面乳洗沐组合保湿滋润正品,4770,买一享四,874,168,55,55
536,36,Pechoin000536,,5,,1197,378,298,298
7,38,Pechoin000007,百雀羚 男士清爽3件套装 洁面150g+润肤露125g+润肤霜50g 国货正品 男士护肤,3142,,887,168,86,0
8,43,Pechoin000008,百雀羚小雀幸深润水颜保湿面膜20片 补水滋润修护细纹提亮肤色正品国货,6758,,863,240,128,128
531,29,Pechoin000531,百雀羚草本恒采新颜焕颜育肤乳95ml 送：小幸韵面膜一片+甘油一瓶 紧致肌肤 淡化细纹 改善暗沉,12845,,872,228,165,0
